PARSMitteilungen;PARSMitteilungen Computer Science general;
Proceedings of the Zoological Society;Proceedings of the Zoological Society Life Sciences general Zoology Animal Anatomy Morphology Histology Animal Genetics and Genomics Biodiversity Conservation BiologyEcology;The Society is publishing Proceedings of the Zoological Society since 1948 which is now recognized as an internationally reputed Journal and is widely circulated all over India and abroad With sincere efforts of the entire editorial board the Journal has been updated and quality of printing has been improved to a great extent The Journal mainly accepts original research papers containing new facts on any discipline of zoology Animal physiology Comparative Endocrinology Behavioural Biology Cell biology and genetics Ecology Entomology Evolutionary biology Fisheries and Aquaculture Immunology Plant animal Interaction Stem Cell Biology Toxicology Checklist of taxonomy and description will not be accepted Articles with new interpretations of the existing knowledge is strongly encouraged for submission This Journal follows Double Blind peer review process aofficial publication of the prestigious Zoological Society Kolkata India b premier Indian journal in the field of Animal Sciences
Proceedings Animal Sciences;Proceedings Animal Sciences Life Sciences general;
Process Integration and Optimization for Sustainability;Process Integration and Optimization for Sustainability Industrial and Production Engineering Sustainable Development Industrial ChemistryChemical Engineering Energy Policy Economics and Management Waste ManagementWaste Technology;Congratulations to the EditorinChiefs board and reviewers of Process Integration and Optimization for Sustainability PIOS is a top rated Springer Nature journal Read more under journal updates Process Integration and Optimization for Sustainability is now indexed in Scopus Emerging Sources Citation Index ESCI EI Compendex Visit the Journal Updates section for more information on Special Issue Call for Papers Free access to Editors Highlights available from now till 25 Apr 2022 This journal is an interdisciplinary platform for information on innovation research development and demonstration in the areas of resource conservation optimal use of various resources analysis and optimization of various systems and processes reduction and mitigation of environmental pollutions and overall sustainable developments It provides an international forum to researchers policy makers decision makers managers consultants and planners to publish learn and discuss about various aspects related to Process Integration and Optimization The breadth of coverage ranges from various optimization and system analysis methods such as mathematical programming pinch analysis Pgraphs heuristics based approaches decision analysis fuzzy optimization etc to applications innovations and methodological developments for resource conservation This journal publishes the following types of contributions Original research papers that propose novel methodology Review articles providing surveys and critical appraisal of developments in a specific topic of interest Short communications describing initial research findings of potential significance or substantive comments on previously published papers Short technical notes that focus on the implementation of established methodology eg industrial case studiessuccess stories software tools Offers a medium for Process Integration researchers to share and exchange ideas both from academia and industry Stimulates resource conservation and optimization pollution reduction and mitigation and overall sustainable development Enables industries to contribute in publishing as well as to adopt the described concepts in their practices
Production Engineering;Production Engineering Industrial and Production Engineering Production;Production Engineering Research and Development reports peer reviewed results of latest research in industrial engineering production engineering and industrial organization The high level and focus on both the scientific as well as the practical impact of the selected papers will bridge the gap between research and successful industrial application Researchers in production engineering as well as in operation management and supply chain organization will find recent valuable developments The main topics span from novel production processes via computer aided engineering to process chain and factory management Frequently published key note papers provide succinct reviews on the recent progress in particular research areas Reports peer reviewed results of latest research in industrial engineering production engineering and industrial organization Bridges the gap between research and successful industrial applications Topics span from novel production processes via computer aided engineering to process chain and factory management
Programming and Computer Software;Programming and Computer Software Computer Science general Software EngineeringProgramming and Operating Systems Operating Systems Software Engineering Artificial Intelligence;Programming and Computer Software is an international peerreviewed journal devoted to problems in all areas of computer science operating systems compiler technology software engineering artificial intelligence etc The journal welcomes manuscripts from all countries PEER REVIEW Programming and Computer Software is a peer reviewed journal We use a double blind peer review format The average period from submission to first decision is 53 days The average rejection rate for submitted manuscripts is 91 The final decision on the acceptance of an article for publication is made by the Editorial Board Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge
Progress in Additive Manufacturing;Progress in Additive Manufacturing Manufacturing Machines Tools Processes Materials Science general Optics Lasers Photonics Optical Devices;Progress in Additive Manufacturing PIAM publishes scientific papers that report original and significant research related to established and emerging Additive Manufacturing AM processes and technologies It provides technically and industrially relevant results and data and serves as a platform for academia and industry PIAM specifically welcomes original contributions that present and discuss novelties covering the value chain of AM In this context added value is specifically seen in the use of simulation methods in all processing steps and the use of artificial intelligence and data analytics to extend prediction and control capabilities Manuscripts are also encouraged to consider and discuss the results in the context of their contribution to the circular economy resource efficiency and environmental aspects The journal welcomes full papers review articles and short communications in the following AM topics Design for AM Design optimization principles and lattice structures as well as incorporating reverse engineering Material simulation considering the specific AM process conditions and requirements including use of modelling and digital twins AM material characterization such as microstructures and phases and related physical properties AM process and material development and optimization including hybrid process strategies postprocessing and other multimaterial and composite processing approaches Metrology for AM including Non Destructive Testing process monitoring and qualification and the use of artificial intelligence methods and advanced data analytics to extend prediction and control capabilities Innovative approaches for AM data handling including but not limited to 2D or 3Dmodelmachine data representation and data chains including quality assurance Innovative and new applications of AM parts including but not limited to functional integration and high temperature or high performance applications medical and their characterization and testing Sustainability aspects in AM including but not limited to process evaluation and component lifecycle assessment Reduced peerreview time for short communications Doubleblinded peerreview system for all submitted papers Interdisciplinary topics ranging from data processing to simulation new and hybrid process to materials and microstructural analysis
Progress in Artificial Intelligence;Progress in Artificial Intelligence Data Mining and Knowledge Discovery Artificial Intelligence Computer Imaging Vision Pattern Recognition and Graphics Natural Language Processing NLP Computational Intelligence Control Robotics Mechatronics;This journal publishes toplevel research results in all aspects of artificial intelligence with a particular emphasis on the following topics data mining soft computing and computational intelligence knowledge complexity logic planning reasoning and search agents and multiagent systems artificial vision and robotics and natural language and Web intelligence The journal is published in cooperation with the Spanish association of artificial intelligence AEPIA and the Editorial Board includes leading international figures in all related research topics
Progress in Biomaterials;Progress in Biomaterials Biomaterials;Progress in Biomaterials is a peerreviewed hybrid journal It is a multidisciplinary Englishlanguage publication of original contributions and reviews concerning studies of the preparation performance and evaluation of biomaterials the chemical physical biological and mechanical behavior of materials both in vitro and in vivo in areas such as tissue engineering and regenerative medicine drug delivery and implants where biomaterials play a significant role Approved by Ministry of Science Research and Technology
Progress in Earth and Planetary Science;Progress in Earth and Planetary Science Earth Sciences general GeophysicsGeodesy Planetology Biogeosciences Hydrogeology Atmospheric Sciences;
Progress in Orthodontics;Progress in Orthodontics Dentistry;
Progress in STEM CELL;Progress in STEM CELL MedicinePublic Health general;
Protection and Control of Modern Power Systems;Protection and Control of Modern Power Systems Energy Systems Renewable and Green Energy Power Electronics Electrical Machines and Networks;
Protection of Metals and Physical Chemistry of Surfaces;Protection of Metals and Physical Chemistry of Surfaces Tribology Corrosion and Coatings Materials Science general Metallic Materials Inorganic Chemistry Industrial ChemistryChemical Engineering Characterization and Evaluation of Materials;Protection of Metals and Physical Chemistry of Surfaces is an international peerreviewed journal that publishes articles covering all aspects of the physical chemistry of materials and interfaces in various environments The journal covers all related problems of modern physical chemistry and materials science including physicochemical processes at interfaces adsorption phenomena complexing from molecular and supramolecular structures at the interfaces to new substances materials and coatings nanoscale and nanostructured materials and coatings composed and dispersed materials physicochemical problems of corrosion degradation and protection investigation methods for surface and interface systems processes structures materials and coatings No principle restrictions exist related to systems types of processes and the methods of control and study The journal welcomes conceptual theoretical experimental methodological instrumental environmental and all other manuscripts from all countries PEER REVIEW Protection of Metals and Physical Chemistry of Surfaces is a peer reviewed journal We use a single blind peer review format Our team of reviewers includes over 50 experts The final decision on the acceptance of an article for publication is made by the Editorial Board Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge Covers all aspects of the physical chemistry of materials surfaces and interfaces related to performance of organic and inorganic materials and coatings in various environments Focuses in the design and synthesis growth and processing characterization and evaluation application and performance of new substances materials and coatings Explores the theory and practice of corrosion degradation and protection of metallic and nonmetallic materials Covers conceptual theoretical experimental methodological instrumental environmental and all other possible approaches
Protein Cell;Protein Cell Biochemistry general Protein Science Cell Biology Stem Cells Human Genetics Developmental Biology;Protein Cell will cease publication with Springer Nature on completion of Volume 132022 The journal will continue in cooperation with a new publisher from Volume 142023 Please contact the Editorial Office proteincellbiolsaccn for information regarding the new publisher and submission process Why publish with us We provide a forum to foster academic exchange among researchers across different fields of the life sciences We publish research highlights news views and commentaries covering the latest developments in multidisciplinary areas in biology and biomedicine emphasizing protein and cell research Open access publication ensures that your article can be easily discovered accessed used and shared maximising your impact and acting as a springboard for further discovery We provide high levels of author satisfaction with 94 of our published authors reporting that they would definitely or probably publish with us again
Proteome;Proteome Cell Biology Cancer Research Human Genetics Molecular Medicine Biotechnology Biochemistry general;
Proteome Science;Proteome Science Proteomics;
Protoplasma;Protoplasma Cell Biology Plant Sciences Zoology;Protoplasma specializes in the area between structural and molecular analysis of biological systems from gene expression to the sub and supracellular levels The journal offers articles on structural and functional cell biology of plants and animals protists fungi as well as prokaryotes Coverage includes biogenesis dynamics and energetics of membrane compartments targeting and trafficking of macromolecules cellular dynamics intracellular transport and wholecell locomotion structure dynamics and molecular components of the cytoskeleton signaling and regulatory cascades the cell cycle and celltocell communication medical aspects of cell biology Besides research rapid communications and comprehensive review articles Protoplasma publishes reviews of discoveries and opportunities at the cutting edge of research under the headings New Ideas in Cell Biology Covers the area between structural and molecular analysis of biological systems from gene expression to the sub and supracellular levels Topics include cell biology of single and multicellular organisms plants and animals molecular cytology experimental and quantitative ultrastructure membrane biology including biogenesis dynamics energetics and electrophysiology and more EditorsinChief Peter Nick Institut fr Biologie Universitt Karlsruhe Germany and Reimer Stick Universitt Bremen Germany 100 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Prvention und Gesundheitsfrderung;Prvention und Gesundheitsfrderung Public Health MedicinePublic Health general Health Promotion and Disease Prevention;Deutschland als wirtschaftliche Hochleistungsgesellschaft gibt viel fr Reparatur und Kompensation gesundheitlicher Probleme aus aber zu wenig fr deren Verhtung Prvention und Gesundheitsfrderung bedrfen konzeptioneller berzeugungskraft klarer Ziele solider wissenschaftlicher Grundlagen und ausreichender Ressourcen Diejenigen die diese Ziele verfolgen sollten dafr entsprechend ausgebildet und zu einer kontinuierlichen Weiterbildung verpflichtet sein Die Zeitschrift Prvention und Gesundheitsfrderung ist das wissenschaftliche Fort und Weiterbildungsforum welches dazu beitrgt Interaktionen insbesondere zwischen sozialen technischen psychischen und biologischen Systemen besser zu verstehen und die daraus gewonnenen Erkenntnisse als Grundlage bedrfnisgerechter zieladquater und effizienter Interventionen zu nutzen
Psicologia Reflexo e Crtica;Psicologia Reflexo e Crtica Psychology Research Psychological MethodsEvaluation Health Psychology Developmental Psychology Biological Psychology Psychometrics;
Psychiatric Quarterly;Psychiatric Quarterly Psychiatry Public Health Sociology general;In continuous publication since 1927 Focused on original research theoretical papers and review articles on assessment treatment and rehabilitation of persons with psychiatric disabilities Emphasizes care provided in public community and private institutional settings Psychiatric Quarterly fills an important niche by focusing on assessment treatment and rehabilitation of persons with psychiatric disabilities with emphasis on care provided in public community and private institutional settings such as hospitals schools and correctional facilities Launched as The State Hospital Quarterly in 1915 the journal received its current name in 1927
Psychiatrie und Psychotherapie;Psychiatrie und Psychotherapie Psychiatry Neurology Psychotherapy;
PsychoOncologie;PsychoOncologie Psychology general Oncology Psychiatry Clinical Psychology;
Psychoanalysis Culture Society;;
Psychobiology;Psychobiology Cognitive Psychology;
Psychological Injury and Law;Psychological Injury and Law Law and Psychology Clinical Psychology Psychology general;The Springer Nature scholarly journal Psychological Injury and Law publishes articles on the intersection of psychological injuries and court It is a civil forensic journal that seeks submissions that are topical timely and empirically based for researchers practitioners and court It publishes on topics such as PTSD chronic pain and mild traumatic brain injury that lead to court action such as after a motor vehicle accident work injury or social security or military veteran disability claims Much of the publishing content of the journal is related to assessment and validity testing for example performance validity tests PVTs and symptom validity tests SVTs given that these diagnoses and conditions are contentious The articles help the field navigate the adversarial divide in the field and deal with legal decisions that inform scientifically based practice and court testimonyreports eg the Daubert trilogy The leading journal in the field Publishes on psychological injuries in relation to law Focuses on PTSD traumatic brain injury and chronic pain Includes assessment articles on PVTs and SVTs Considers tort workers compensation disability and military veteran VA cases
Psychological Research;Psychological Research Psychology Research;The journal Psychological Research publishes articles that contribute to a basic understanding of human perception attention memory and action It is devoted to the dissemination of knowledge based on firm experimental ground independent of any particular approach or school of thought The contents include theoretical and historical papers as well as those of an applied nature that serve to bridge the gap between basic and applied research Contributes to a basic understanding of human perception attention memory and action Disseminations knowledge based on firm experimental ground independent of any particular approach or school of thought Includes theoretical and historical papers as well as those of an applied nature that serve to bridge the gap between basic and applied research
Psychological Studies;Psychological Studies Psychology general General Psychology Personality and Social Psychology;Psychological Studies is the official journal of the National Academy of Psychology NAOP India The Journal contains articles covering current issues in psychology the science and practice of psychology and psychologys contribution to public policy The Journal aims to provide a forum for high quality research encompassing all areas of psychology It focuses on the centrality of coconstruction of cultural and psychological processes and facilitates understanding psychology from diverse theoretical perspectives The Journal is the publication outlet of empirical investigations theoretical papers reviews methodological applied and policyrelated articles Research in psychology is encompassing almost all areas of life Therefore the Journal sets a preference for innovative and comprehensive reports and includes all modes of research experimental observational ethnographic textual interpretive and survey Psychological Studies is now active on Social Media Follow us on Twitter PsyStudiesNAOP at httpstwittercomPsyStudiesNAOP Facebook at httpsmfacebookcomPsychologicalStudies103158024852736 LinkedIn at httpswwwlinkedincominpsychologicalstudiesa1b6521b5 Focuses on current issues in psychological science professional practices and contributions to social policy Publishes research to understand psychology from diverse theoretical perspectives and encourages methodological plurality Publishes all modes of research including experimental observational ethnographic textual interpretive and survey Special issues focus on current debates and concerns
Psychologie gezondheid;Psychologie gezondheid MedicinePublic Health general;
Psychology of WellBeing;Psychology of WellBeing Health Psychology Neuropsychology Biological Psychology Positive Psychology Quality of Life Research;
Psychometrika;Psychometrika Psychometrics Assessment Testing and Evaluation Statistics for Social Sciences Humanities Law Statistical Theory and Methods;Psychometrika the official journal of the Psychometric Society is devoted to the development of psychology as a quantitative rational science Articles examine statistical methods discuss mathematical techniques and advance theory for evaluating behavioral data in psychology education and the social and behavioral sciences generally There are three main sections in Psychometrika Theory and Methods Application Reviews and Case Studies ARCS and Book Reviews Additionally there is a section online for software data and other electronic supplementary material for the articles in these sections Theory and Methods is the primary section and it contains articles that present original research on the development of quantitative models for psychological phenomena and on quantitative methodology in the social and behavioral sciences including new mathematical and statistical techniques for the evaluation of psychological data and the application of such techniques Application Reviews and Case Studies ARCS is a distinct section of Psychometrika and it is designed to highlight the essential connection between data analysis and modelling methodology and its application to data in psychology education sciences and related areas in the social sciences and marketing in a way that deepens the substantive understanding of phenomena in one of these disciplines Book Reviews are the third main section of Psychometrika Book topics include psychometrics quantitative psychology and areas in statistics and data mining as well as substantive areas in psychology social sciences etc that are inspiring for quantitative work in Psychometrika Officially cited as Psychometrika Devoted to the development of psychology as a quantitative rational science The official journal of the Psychometric Society wwwpsychometricsocietyorg Three main sections Theory and Methods Application Reviews Case Studies and Book Reviews
Psychonomic Bulletin Review;Psychonomic Bulletin Review Cognitive Psychology;The journal provides coverage spanning a broad spectrum of topics in all areas of experimental psychology intended for a general readership The journal is primarily dedicated to the publication of theory and review articles and brief reports of outstanding experimental work Areas of coverage include attention and perception cognitive psychology psycholinguistics behavioral and cognitive neuroscience memory comparative psychology social cognition and cognitive development Psychonomic Bulletin Review is a publication of the Psychonomic Society Psychonomic Bulletin Review is committed to upholding principles of integrity in scientific publishing and practice As a member of the Committee on Publication Ethics COPE the journal will follow COPE guidelines concerning procedures for handling potential acts of professional misconduct Spans a wide range of topics in experimental psychology Covers attention and perception memory cognitive development and more Intended for a general readership A publication of the Psychonomic Society
Psychonomic Science;Psychonomic Science Cognitive Psychology;
Psychopharmacology;Psychopharmacology Neurosciences PharmacologyToxicology Psychiatry;Official Journal of the European Behavioural Pharmacology Society EBPS Psychopharmacology is an international journal that covers the broad topic of elucidating mechanisms by which drugs affect behavior The scope of the journal encompasses the following fields Human Psychopharmacology Experimental This section includes manuscripts describing the effects of drugs on mood behavior cognition and physiology in humans The journal encourages submissions that involve brain imaging genetics neuroendocrinology and developmental topics Usually manuscripts in this section describe studies conducted under controlled conditions but occasionally descriptive or observational studies are also considered Human Psychopharmacology Clinical and Translational This section comprises studies addressing the broad intersection of drugs and psychiatric illness This includes not only clinical trials and studies of drug usage and metabolism drug surveillance and pharmacoepidemiology but also work utilizing the entire range of clinically relevant methodologies including neuroimaging pharmacogenetics cognitive science biomarkers and others Work directed toward the translation of preclinical to clinical knowledge is especially encouraged The key feature of submissions to this section is that they involve a focus on clinical aspects Preclinical psychopharmacology Behavioral and Neural This section considers reports on the effects of compounds with defined chemical structures on any aspect of behavior in particular when correlated with neurochemical effects in species other than humans Manuscripts containing neuroscientific techniques in combination with behavior are welcome We encourage reports of studies that provide insight into the mechanisms of drug action at the behavioral and molecular levels Preclinical Psychopharmacology Translational This section considers manuscripts that enhance the confidence in a central mechanism that could be of therapeutic value for psychiatric or neurological patients using diseaserelevant preclinical models and tests or that report on preclinical manipulations and challenges that have the potential to be translated to the clinic Studies aiming at the refinement of preclinical models based upon clinical findings backtranslation will also be considered The journal particularly encourages submissions that integrate measures of target tissue exposure activity on the molecular target andor modulation of the targeted biochemical pathways Preclinical Psychopharmacology Molecular Genetic and Epigenetic This section focuses on the molecular and cellular actions of neuropharmacological agents drugs and the identification validation of drug targets affecting the CNS in health and disease We particularly encourage studies that provide insight into the mechanisms of drug action at the molecular level Manuscripts containing evidence for genetic or epigenetic effects on neurochemistry or behavior are welcome The journal welcomes submissions in all of these fields Details Concerning the Submission and Publication Procedures No Page Charges No Fees for Online Color Images Optional Color Images in Print EUR 950USD 1150 VAT or local taxes will be added where applicable Optional Open Access Publication Fee APC EUR 2990USD 3760GBP 2490 VAT or local taxes will be added where applicable Publishes research and reviews of mechanisms by which drugs affect behavior Extends from clinical psychopharmacology to studies of effects of drugs on human cognition and behavior Covers methodologies from neurochemical assays to functional neuroimaging studies
Psychopraktijk;Psychopraktijk Psychology general Psychotherapy;
Psychopraxis;Psychopraxis MedicinePublic Health general;
Psychosomatik und Konsiliarpsychiatrie;Psychosomatik und Konsiliarpsychiatrie Psychotherapy Neurology Internal Medicine;
Psychotherapie Forum;Psychotherapie Forum Psychotherapy Psychiatry;Die Zeitschrift ist das offizielle Organ des sterreichischen Bundesverbandes fr Psychotherapie BVP und richtet sich an Psychotherapeutinnen an Psychologinnen an rztliche Psychotherapeutinnen sowie an alle Berufsgruppen die sich mit psychischer Gesundheit befassen Die Zeitschrift strebt eine verstrkte Kommunikation zwischen Forschung und Praxis an Ein wichtiger Schwerpunkt liegt in der Praxisorientierung Die Zeitschrift bietet auch ein Forum zur fachlichen Diskussion verschiedener psychotherapeutischer Methoden Das psychotherapie forum ist schulenbergreifend konzipiert Es werden Originalarbeiten bersichtsartikel Falldarstellungen und Rezensionen verffentlicht Die Beitrge des psychotherapie forum unterliegen einem double blind Begutachtungsverfahren Peer Review Manuskripte die formal oder inhaltlich nicht den Qualittsstandards des Journals entsprechen knnen nicht bercksichtigt werden Die Ablehnungsrate im Jahr 2022 betrug 31 Prozent
Public Choice;Public Choice Public Economics Political Science;Public Choice publishes scholarly research that applies economics to nonmarket social phenomena such as politics law religion conflict and the family For over half a century the journal has served as a premier outlet for interdisciplinary work by political scientists legal scholars sociologists and economists Officially cited as Public Choice Explores the intersection between economics and political science Fosters exchange between economists and political scientists Applies economic methodology as well as newly developed effective techniques that are not within the domain of economists
Public Health Reviews;Public Health Reviews Public Health;
Public Organization Review;Public Organization Review Political Science Public Economics Management Economic Policy Public Administration;Public Organization Review seeks to advance knowledge of public organizations around the world Its focus is on public broadly defined to include governmental nonprofit and nongovernmental organizations and their impacts on human life and society as well as their influence in shaping human civilization The Review publishes empirical theoretical analytical and historical articles of high academic quality that contribute to the advancement of understanding public organizations Of particular interest are 1 studies of public organizations and their administration at all levels of analysis 2 studies of intra and interorganizational relationships including interactions with private corporations nonprofit and nongovernmental organizations 3 studies of state and society politics and market social change and public organizations and globalization and national governanceadministration 4 studies of organizational theory behavior change development leadership policy and management 5 studies of organizationelite organizational elitemass citizens and publicprivate sector interface and 6 studies that further the cause of the common good and contribute to a humane civilization This journal is significant as it focuses on public organizations at every level anywhere in the world The Journal is unique in that it is devoted entirely to these types of public organizations as the central forces in shaping the structure directions changes and progress in society and civilization as well as their centrality in the process of governance and administration of society The journal is published in English four times a year Following the standard anonymousreferee procedure all manuscripts are subject to the review of the Editor and the Editorial Board The journal commits itself to a timely response Officially cited as Public Organiz Rev
Public Transport;Public Transport Operations ResearchDecision Theory Automotive Engineering ComputerAided Engineering CAD CAE and Design Transportation;The journal Public Transport presents a range of research in the area of public transport planning and operations with the aim of advancing the state of the art and the state of the practice in computeraided systems and scheduling in public transport The journal considers all subjects in this area especially with a focus on planning and scheduling the common ground is the use of computeraided methods and operations research techniques to improve information management network and route planning vehicle and crew scheduling and rostering vehicle monitoring and management and practical experience with scheduling and public transport planning methods Besides theoretical papers the journal also publishes case studies and applications Public Transport benefits an audience of transport operators and consulting firms and academic institutions involved in development utilization or research of computeraided planning and scheduling in public transport Officially cited as Public Transp Uses computeraided methods and operations research techniques to improve public transport management Covers information management network and route planning vehicle and crew scheduling and rostering vehicle monitoring and management and more Publishes theoretical papers case studies and applications
Publications mathmatiques de lIHS;Publications mathmatiques de lIHS Mathematics general Algebra Analysis Geometry Number Theory;The Publications Mathmatiques de lIHS is an international journal publishing papers of the highest scientific level Since the beginning of 2021 the Publications Mathmatiques de lIHS has become a fully open access journal so going forward everyone will now have access to this important mathematical research We are committed that the article processing charges are never the responsibility of any individual researcher for more information see the Submission Guidelines International journal publishing papers of the highest scientific level Provides open access to mathematical research Globally renowned Editorial Board members
Publishing Research Quarterly;Publishing Research Quarterly Social Sciences general Printing and Publishing Library Science Methodology of the Social Sciences;Publishing Research Quarterly is an international forum for the publication of original peerreviewed papers offering significant research and analyses on the full range of the publishing industry The journal analyzes content development production distribution and marketing of books magazines journals and online information services in relation to the social political economic and technological conditions that shape the publishing process Its broad coverage shows how different sectors of the industry operate from editorial decisionmaking to order processing Topics include product development marketing finance and print and online distribution as well as the relationship between publishing activities and the publishing industrys constituencies among industry government and consumers The journal presents scholarly articles research reports review papers essays surveys memoirs statistics letters notes and book reviews Offers significant research and analyses on every aspect of the publishing industry Covers topics ranging from editorial decisionmaking to order processing to print and online delivery Examines the social political economic and technological conditions that shape the publishing process Provides a platform to present new developments in digital multimedia publishing Explores product development marketing financial aspects and print and online distribution
Publizistik;Publizistik Social Sciences general Communication Studies Journalism Media Sociology Political Communication;Publizistik verffentlicht Beitrge aus allen Bereichen der Kommunikationswissenschaft Die Zeitschrift enthlt in der Regel vier grere doppelblind begutachtete Originalbeitrge Aufstze dazu Personalien Laudationes bei Geburtstagen von Fachvertretern Berufungen Habilitationen sowie Nachrufe und Buchbesprechungen Dazu werden in unregelmigen Abstnden von den Herausgeberinnen akquirierte und intern begutachtete Essays und Kolumnen in den Rubriken Meinungsforum Kommunikationswissenschaft international und Medienpolitik international publiziert In den Themen der Aufstze spiegelt sich das Selbstverstndnis des Faches Kommunikationswissenschaft als systematisch arbeitende Sozialwissenschaft Whrend der Schwerpunkt auf empirische Forschungsergebnisse zum Beispiel zu Medieninhalten Mediennutzung und Medienwirkung gelegt wird gehren Studien zur politischen Kommunikation und Medienpolitik Journalismus und Kommunikatorforschung Netzwerk und OnlineMedien sowie Fachgeschichte und entwicklung seit jeher zu den traditionellen Inhalten der Zeitschrift In den sechs Jahrzehnten ihres Bestehens konnte die Publizistik praktisch alle namhaften Vertreterinnen und Vertreter der Publizistik und Kommunikationswissenschaft in Deutschland sterreich und der deutschsprachigen Schweiz zu ihren Autorinnen zhlen Die Zeitschrift bietet aber auch allen Nachwuchswissenschaftlerinnen einen erstklassigen Publikationsort
Pulmonary Therapy;Pulmonary Therapy PneumologyRespiratory System Pharmacotherapy General Practice Family Medicine Internal Medicine Pharmacoeconomics and Health Outcomes Quality of Life Research;Pulmonary Therapy is an international open access peerreviewed singleblind and rapid publication journal The scope of the journal is broad covering the use of pulmonary therapies devices and surgical techniques The key features of the journal are Rapid publication The journal aims for a 2week peer review 34 weeks from acceptance to online Open access All articles published open access CCBYNC Inclusivity All scientifically sound research considered be it positive confirmatory or negative data Research is considered from preclinical clinical phase realworld and health economics outcomes studies Submissions are welcomed whether they relate to an international or a countryspecific audience Personal service The journals team will reformat articles and upload submissions on behalf of authors if necessary Digital Features and Plain Language Summaries These peerreviewed features are welcomed to help enhance the educational value of a manuscript for more information see Author Information Guidelines for digital features and plain language summaries under Submission guidelines Publication fees Upon acceptance of an article authors will be required to pay the mandatory Rapid Service Fee of 4500 5600 4100 The journal will consider fee discounts and waivers for developing countries and this is decided on a case by case basis If you would like to request a discount or waiver please do so either ahead of submission or at the very start of the submission process Requests made after this stage will not be considered Contact For more information about the journal including presubmission enquiries please contact Charley Lai at charleylaispringercom Presents research on the use of pulmonary therapies devices and surgical techniques Rapid publication and personal point of contact throughout Maximum visibility with open access
Pure and Applied Geophysics;Pure and Applied Geophysics GeophysicsGeodesy;pure and applied geophysics pageoph a continuation of the journal Geofisica pura e applicata publishes original scientific contributions in the fields of solid Earth atmospheric and oceanic sciences Regular and special issues feature thoughtprovoking reports on active areas of current research and stateoftheart surveys Bibliographic Data Pure Appl Geophys First published in 1939 formerly Geofisica pura e applicata 1 volume per year 12 issues per volume approx 3000 pages per vol Format 193 x 26 cm ISSN 00334553 print ISSN 14209136 electronic Long running journal founded in 1939 as Geofisica pura e applicata Publishes peerreviewed original scientific contributions and stateoftheart surveys in solid earth and atmospheric sciences Features thoughtprovoking reports on active areas of current research and is a major source for publications on tsunami research Coverage extends to research topics in oceanic sciences See Instructions for Authors on the right hand side
Purinergic Signalling;Purinergic Signalling Biomedicine general PharmacologyToxicology Human Physiology Neurosciences Cancer Research;This journal presents a forum for the publication of papers in the rapidly growing area of Purinergic Signalling through purines and pyrimidines with its exceptionally wide spectrum of signalling functions in health and disease Coverage includes original articles reviews hot topics and controversies and meeting reports There is both shortterm purinergic signalling in transmission and secretion and longterm trophic signalling in controlling cell proliferation differentiation motility and death in development and regeneration At the molecular level rapid progress has been made in understanding the mechanisms of nucleotide and nucleoside release their extracellular metabolism the intracellular signalling cascades elicited by receptor activation and the crosstalk with other essential signalling pathways In addition to basic research into the roles of purines and pyrimidines in physiological conditions a recent emphasis is on translational research and the therapeutic opportunities concerning purinergic signalling Responds to rapidly growing interest in purinergic signalling Presents original articles reviews hot topics and controversies and meeting reports
Pdiatrie;Pdiatrie Pediatrics General Practice Family Medicine ObstetricsPerinatologyMidwifery;Pdiatrie ist das Fortbildungsmagazin von Kinderrztinnen und Kinderrzten fr Kinderrztinnen und Kinderrzte Praxisnahe bersichtsbeitrge und Kasuistiken informieren ber den aktuellen Stand von Diagnostik und Therapie Ein von der Bayerischen Landesrztekammer anerkanntes Fortbildungsmodul ermglicht den Erwerb von CMEPunkten In der Rubrik Literatur kompakt referieren und kommentieren Expertinnen und Experten die internationale Fachliteratur Im BlickdiagnoseQuiz knnen die Leserinnen und Leser knifflige Flle lsen Leitlinie im Fokus fasst aktuelle Leitlinien kurz und knapp zusammen Die Highlights der wichtigsten Tagungen werden in Kongress kompakt prsentiert Schlielich erhalten die Leserinnen und Leser in der Rubrik Praxis konkret wertvolle Praxistipps
