CABI Agriculture and Bioscience;CABI Agriculture and Bioscience Agriculture;
Current Bladder Dysfunction Reports;Current Bladder Dysfunction Reports Urology GeriatricsGerontology Gynecology;Current Bladder Dysfunction Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging approaches to the diagnosis treatment management and prevention of the spectrum of urologic conditions that contribute to bladder dysfunction Presents the views of experts on current advances in bladder dysfunction in a clear and readable form Gathers and synthesizes important recent papers on bladder dysfunction Alerts readers to useful web sites on the topic
Current Breast Cancer Reports;Current Breast Cancer Reports Oncology Internal Medicine Surgical Oncology;Current Breast Cancer Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging approaches to the diagnosis treatment management and prevention of breast cancer
Current Cardiology Reports;Current Cardiology Reports Cardiology;Current Cardiology Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging approaches to the diagnosis treatment management and prevention of cardiologyrelated diseases and conditions
Current Cardiovascular Imaging Reports;Current Cardiovascular Imaging Reports Cardiology Imaging Radiology Diagnostic Radiology Interventional Radiology Ultrasound Nuclear Medicine;Current Cardiovascular Imaging Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging concepts regarding cardiovascular imaging techniques and technologies
Current Cardiovascular Risk Reports;Current Cardiovascular Risk Reports Cardiology;Current Cardiovascular Risk Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging concepts related to cardiovascular risk
Current Climate Change Reports;Current Climate Change Reports Climate Change Climatology Climate Change Management and Policy Oceanography Atmospheric Sciences;This journal is focused on the latest research and policy issues in the rapidlychanging and expanding field of Climate Change Coverage spans a wide range of topics including Ecological Impacts Advances in Modeling Sea Level Projections Extreme Events Climate Feedback and Sensitivity Hydrologic Impact Effects on Human Health and Economics and Policy Issues Expert contributors offer reviews on the latest research evaluate the efficacy of available options and discuss special considerations All articles are peerreviewed by specialists in the field to ensure accuracy and objectivity Presents reviews offering expert insight and incisive thoughtful commentary Articles span a range of established and emerging studies in the area of climate change Peer reviewed for accuracy and objectivity
Current Clinical Microbiology Reports;Current Clinical Microbiology Reports Medical Microbiology;Current Clinical Microbiology Reports commissions expert reviews from leading scientists at the forefront of research in microbiology The journal covers this broad field by dividing it into four main areas of study virology bacteriology parasitology and mycology Experts from around the world address important aspects of clinical microbiology including immunology diagnostics therapeutics antibiotics and antibiotic resistance and vaccines Leading researchers are invited to contribute comprehensive review articles that emphasize new developments and recently published papers of major importance which are highlighted in annotated reference lists These timely reviews of the literature examine the latest scientific discoveries and controversies as they emerge and are indispensable to both researchers and clinicians World experts address immunology diagnostics therapeutics antibiotics and antibiotic resistance and vaccines Presents timely reviews of pertinent literature Examines the latest scientific discoveries and controversies as they emerge
Current Colorectal Cancer Reports;Current Colorectal Cancer Reports Oncology Proctology Colorectal Surgery;
Current Dermatology Reports;Current Dermatology Reports Dermatology MedicinePublic Health general;Current Dermatology Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging approaches to the diagnosis treatment management and prevention of dermatological conditions Offers clinical reviews of recent publications on the assessment treatment and management of patients with dermatologyrelated disorders Coverage extends to eight major subtopics in dermatology Includes supplementary reviews of clinical trials and commentary from wellknown figures in the field
Current Developmental Disorders Reports;Current Developmental Disorders Reports Psychiatry Pediatrics General Practice Family Medicine;Current Developmental Disorders Reports commissions expert reviews from leading scientists and clinicians in the field of developmental disorders What makes the journal unique is its focus on not one but a host of major disorders ranging from autism ADHD and Tourettes syndrome to motor disorders such as cerebral palsy and developmental coordination disorder through to language and reading disorders such as developmental dyslexia Articles from some of the worlds leading researchers focus on timely and current reviews of the literature in areas spanning the continuum from bench to communities to individuals Reviews on new scientific discoveries in neurosciences genetics and epidemiology as well as clinical interventions and policy offer access to new innovative and impactful discoveries as they emerge Commissions expert reviews from leading scientists and clinicians in the field of developmental disorders Covers major disorders ranging from autism ADHD and Tourettes syndrome to motor disorders and language and reading disorders Reviews new discoveries in neurosciences genetics and epidemiology as well as clinical interventions
Current Diabetes Reports;Current Diabetes Reports Diabetes;Current Diabetes Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging approaches to the diagnosis treatment management and prevention of diabetes
Current Emergency and Hospital Medicine Reports;Current Emergency and Hospital Medicine Reports Emergency Medicine;Current Emergency Hospital Medicine Reports publishes expert review articles on the most significant recent developments in emergency and hospital medicine with particular emphasis on the transition of patient care from the emergency department to the hospitalist service International authorities serve as Section Editors choosing key topics for which leading experts contribute comprehensive review articles that emphasize new developments and recently published papers of major importance highlighted by annotated reference lists Coverage spans a range of topics including acute coronary syndrome chronic obstructive pulmonary disease communityacquired infections diabetes and metabolic disease heart failure hospitalacquired infections pharmacology of acute care shared practice and economic issues thrombosis and more Offers expert review articles on significant recent developments in Emergency and Hospital Medicine International authorities serve as editorial board and section editors Covers acute COPD communityacquired and hospitalacquired infections diabetes and metabolic disease heart failure shared practice and economic issues and more
Current Environmental Health Reports;Current Environmental Health Reports PharmacologyToxicology MedicinePublic Health general Environmental Health;Current Environmental Health Reports provides in a systematic manner the views of experts on the current advances in the environmental health field in a clear and readable form and by providing reviews which highlight the most important papers recently published from the wealth of original publications The coverage extends to a broad range of contemporary topics Environmental Epigenetics Air Pollution and Health Global Environmental Health and Sustainability Metals and Health Synthetic Chemicals and Health Early Life Environmental Health Susceptibility Factors in Environmental Health Mechanisms of Toxicity and more A forum for discussing current advances in environmental health Presents reviews of important papers published elsewhere Coverage includes Environmental Epigenetics Air Pollution and Health Global Environmental Health and Sustainability Metals and Health Synthetic Chemicals and Health and more
Current Epidemiology Reports;Current Epidemiology Reports Epidemiology;Providing clear insightful and balanced coverage Current Epidemiology Reports offers expert review articles on significant recent developments in the field of epidemiology The journal serves those for whom a solid grasp of emerging knowledge in epidemiology is essential to understanding the patterns of health and disease in populations Coverage includes the epidemiology of cancer infectious disease cardiovascular disease musculoskeletal disease mental health and occupational and environmental epidemiology social epidemiology pharmacoepidemiology genetic epidemiology and epidemiologic methods Offers a forum for discussion of new developments in epidemiology Covers all different aspects and fields of epidemiology Provides students practitioners and researchers with concise reviews on emerging knowledge in epidemiology
Current Forestry Reports;Current Forestry Reports Sustainable Development Environmental Management Nature Conservation Forestry Forestry Management Ecology;This journal publishes indepth review articles covering the most significant developments in the broad field of forestry Presented in the form of clear insightful and balanced contributions by acknowledged experts the coverage spans the world of forestry encompassing physiological processes tree genetics forest management remote sensing and wood structure and function and more While most published papers are by invitation feel free to email us your manuscript or abstract if you are interested in publishing in Current Forestry Reports We will evaluate the suitability of your submission for Current Forestry Reports and if suitable discuss with you the next steps in the publication process formatting and review Why publish with us We are the highest ranking journal in the Forestry category with a wide visibility and readership and an Impact Factor of 10975 We are home to a diverse and global group of Section Editors and Board Members and each manuscript undergoes rigorous review involving the EditorinChief Section Editor and 2 to 3 external reviewers We provide high levels of author satisfaction with 100 of our published authors rating their experience as excellent or good
Current Fungal Infection Reports;Current Fungal Infection Reports Infectious Diseases Internal Medicine Tropical Medicine Occupational MedicineIndustrial Medicine PneumologyRespiratory System;Current Fungal Infection Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging approaches to the diagnosis treatment management and prevention of fungal infection
Current GERD Reports;Current GERD Reports Epidemiology;
Current Gastroenterology Reports;Current Gastroenterology Reports Gastroenterology;Current Gastroenterology Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging approaches to the diagnosis treatment management and prevention of gastroenterologic diseases and conditions Presents the views of experts on current advances in gastroenterology in a clear and readable form Gathers and synthesizes important recent papers on gastroenterology Reviews recently published clinical trials Alerts readers to useful web sites on the topic
Current Genetic Medicine Reports;Current Genetic Medicine Reports Internal Medicine;Current Genetic Medicine Reports publishes expert review articles on the most significant recent developments in the field International authorities in genetic medicine serve as Section Editors choosing key topics for which leading experts contribute comprehensive review articles that emphasize new developments and recently published papers of major importance highlighted by annotated reference lists Coverage spans the subject including such topics as cancer genetics cardiovascular genetics clinical genetics cytogenetics epigenetics genetic counseling and clinical testing genomics neurogeneticspsychiatric genetics pharmacogenomics and reproductive geneticsdevelopmental genealogy Current Genetic Medicine Reports elucidates diagnosis management susceptibility therapeutic and biological mechanism implications relevant to associations between genetics and disease Offers expert review articles on significant recent developments in genetic medicine International authorities serve as editorial board and section editors Covers cancer genetics cardiovascular genetics clinical genetics cytogenetics genetic counseling and clinical testing genomics and more
Current Genetics;Current Genetics Microbial Genetics and Genomics Microbiology Biochemistry general Cell Biology Plant Sciences Proteomics;Current Genetics publishes genetic genomic molecular and systemslevel analysis of eukaryotic and prokaryotic microorganisms and cell organelles All articles are peerreviewed The journal welcomes submissions employing any type of research approach be it analytical aiming at a better understanding applied aiming at practical applications synthetic or theoretical Current Genetics no longer accepts manuscripts describing the genome sequence of mitochondriachloroplast of a small number of species Manuscripts covering sequence comparisons and analyses that include a large number of species will still be considered Presents innovative research on eukaryotic and prokaryotic microorganisms as well as cell organelles Covers basic research and biotechnological applications No page charges free color figures print online Rapid handling of manuscripts Accepts submissions of all journal styles No reformatting necessary upon submission
Current Geriatrics Reports;Current Geriatrics Reports GeriatricsGerontology MedicinePublic Health general Psychopharmacology Pain Medicine Neurology Rheumatology;Current Geriatrics Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal serves all those involved in the care treatment and study of patients adversely affected by the spectrum of agerelated conditions Presents current research on assessment treatment and management of conditions in geriatric patients Coverage spans eight major areas in geriatrics and gerontology Covers emerging techniques and technologies from around the world Includes reviews of clinical trials and expert commentary
Current HIVAIDS Reports;Current HIVAIDS Reports MedicinePublic Health general;Current HIVAIDS Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging approaches to the diagnosis treatment management and prevention of conditions associated with HIVAIDS Presents the views of experts on current advances in HIVAIDS in a clear and readable form Gathers and synthesizes important recent papers on HIVAIDS Alerts readers to useful web sites on the topic
Current Heart Failure Reports;Current Heart Failure Reports Cardiology Cardiac Surgery Vascular Surgery Internal Medicine Imaging Radiology;Current Heart Failure Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging approaches to the diagnosis treatment management and prevention of heart failure and associated conditions
Current Hematologic Malignancy Reports;Current Hematologic Malignancy Reports Hematology Oncology GeriatricsGerontology;Current Hematologic Malignancy Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging approaches to the diagnosis treatment management and prevention of conditions associated with hematologic malignancy Offers the views of experts on current advances in the field of hematologic malignancy Gathers and highlights important recent papers from a wealth of original publications Draws on the expertise of authorities in 12 related subject areas
Current Hepatology Reports;Current Hepatology Reports Hepatology;Current Hepatology Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging approaches to the diagnosis treatment management and prevention of conditions associated with hepatitis Offers the views of experts on current advances in the field of hepatitis Gathers and highlights important recent papers from a wealth of original publications Draws on the expertise of authorities in related subject areas Provides advice on valuable web sites
Current Hypertension Reports;Current Hypertension Reports Internal Medicine Cardiology Metabolic Diseases Nephrology Primary Care Medicine General Practice Family Medicine;Current Hypertension Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging approaches to the diagnosis treatment management and prevention of conditions associated with hypertension Presents the views of experts on current advances in hypertension in a clear and readable form Gathers and synthesizes important recent papers on hypertension
Current Infectious Disease Reports;Current Infectious Disease Reports Infectious Diseases;Current Infectious Disease Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging approaches to the diagnosis treatment management and prevention of infectious disease Offers the views of experts on current advances in the infectious disease field Highlights the most important recent papers from a wealth of original publications Also provides supplementary reviews featuring recently published clinical trials valuable web sites and commentaries from wellknown figures in the field
Current Landscape Ecology Reports;Current Landscape Ecology Reports Landscape Ecology Ecology Forestry Freshwater Marine Ecology;This journal synthesizes the most significant developments in current landscape ecology research highlighting both important areas of consensus and important areas of current debate to underline major findings and delineate the edges of the discipline Unsolicited submissions are always welcome Coverage includes these topics and more causes and consequences of landscape change the interaction of landscape ecology and natural resources management landscape design and planning for ecological outcomes key methodological developments in landscape ecology spatial scaling issues in landscape ecology the spread of undesired species and processes and ecosystem service provision and human wellbeing and the effects of landscape structure on species and biodiversity conservation Synthesizes important developments in contemporary landscape ecology research Highlights both areas of broad consensus and current debate Underlines significant findings and delineates the edges of the discipline
Current Medical Science;Current Medical Science MedicinePublic Health general;Current Medical Science original name Journal of Huazhong University of Science and Technology Medical Sciences is published bimonthly by Huazhong University of Science and Technology in partnership with Springer Publishing Company It provides a forum by publishing peerreviewed papers to promote academic exchange between the Chinese researchers and doctors and their foreign counterparts The journal covers the subjects of biomedicine such as physiology biochemistry molecular biology pharmacology immunology pathology and pathophysiology etc and subjects of clinical medicines such as surgery internal medicine obstetrics and gynecology pediatrics and otorhinolaryngology etc High priority is given to studies on the mechanism underlying human diseases and clinical trials In China it is one of the five periodicals that are firstly included in Index Medicus IM and is now under the coverage of the Science Citation IndexExpanded SCIE A platform for academic exchange between Chinese medical researchers and their foreign colleagues Published primarily in English Presents articles concerning the latest advances and experiences in biomedicine and clinical medicine
Current Medicine;Current Medicine MedicinePublic Health general Biomedicine general;Current Medicine is an official journal of National Institute for Data Science in Health and Medicine Capital Medical University China As an open access transparent peerreviewed general medical journal Current Medicine publishes outstanding and influential research in all areas of clinical practice translational medicine medical and health advances and general topics of interest to the biomedical and sociomedical professional communities We also publish stimulating debates and reviews as well as unique forum articles and concise tutorials Distinguished editorial team to handle each paper professionally Active editorial board memebers who are international leading experts in their fields High Visibility due to OA Free of Article Processing Charge APC during 20222024
Current Microbiology;Current Microbiology Microbiology Biotechnology;Current Microbiology is a wellestablished journal that publishes articles in all aspects of prokaryotic and eukaryotic cells and the interactions between the microorganisms their hosts and the environment Current Microbiology publishes original research articles short communications reviews and letters to the editor spanning the following sections Infectious Diseases Antimicrobial Resistance HostMicrobe Interactions Environmental Diversity Food Microbiology Microbial Biotechnology Microbial Physiology Metabolism Systematics Genomic Microbiology and Microbial Evolution Eukaryotic Microorganisms Viruses An international peerreviewed journal that explores all aspects of microbial cells including prokaryotes eukaryotes and viruses Coverage spans general environmental and applied microbiology Draws on physiology biochemistry genetics morphology taxonomy immunology and more 98 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Current Molecular Biology Reports;Current Molecular Biology Reports Molecular Medicine Human Genetics;This journal publishes current cuttingedge reviews on a wide span of subjects pertinent to molecular biology research Leading experts provide incisive insightful and balanced contributions in each relevant domain that will be of immediate interest to a wide readership of clinicians basic scientists and translational investigators The Section Editors all major authorities in their disciplines choose topics with an emphasis on recent developments members of the international Editorial Board propose topics of current regional and global importance and wellknown experts offer commentaries All this is presented in a crisp readable format Publishes cuttingedge reviews on a range of subjects in molecular biology research Expert contributors offer incisive balanced insight and commentary Surveys contemporary research in a crisp readable format
Current Neurology and Neuroscience Reports;Current Neurology and Neuroscience Reports Neurology Neurosciences;Current Neurology and Neuroscience Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging approaches to the diagnosis treatment management and prevention of neurological disease and disorders Presents the views of experts on current advances in neurology and neuroscience Gathers and synthesizes important recent papers on the topic Includes reviews of recently published clinical trials valuable web sites and commentaries from wellknown figures in the field
Current Nutrition Reports;Current Nutrition Reports Clinical Nutrition MedicinePublic Health general Health Promotion and Disease Prevention Cardiology Oncology Diabetes;Current Nutrition Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal discusses the influence of nutrition on major conditions such as diabetes cardiovascular disease cancer and obesity as well as the impact of nutrition on genetics metabolic function and public health Offers expert reviews of the most important recent papers in the field of nutrition Focuses on the influence of nutrition and genetics on diabetes cardiovascular disease cancer and obesity
Current Obesity Reports;Current Obesity Reports Endocrinology MedicinePublic Health general Metabolic Diseases Diabetes Cardiology Behavioral Therapy;Current Obesity Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal serves all those involved in the treatment and prevention of obesity and the related spectrum of cardiovascular endocrinological gynecological oncological psychological respiratory and rheumatological conditions Offers clinical reviews of recent research on the assessment treatment and management of patients with obesityrelated disorders Coverage extends to eight major subtopics in obesity Includes supplementary reviews of clinical trials and commentary from wellknown figures in the field
Current Obstetrics and Gynecology Reports;Current Obstetrics and Gynecology Reports ObstetricsPerinatologyMidwifery Maternal and Child Health MedicinePublic Health general Oncology;Current Obstetrics and Gynecology Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging approaches to the diagnosis treatment management and prevention of conditions that adversely impact the health of women Presents the latest research on the reproductive system Reviews clinical advances in diagnostic and management techniques
Current Oncology Reports;Current Oncology Reports Oncology;Current Oncology Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal serves all those involved in the diagnosis treatment management and prevention of cancer
Current Ophthalmology Reports;Current Ophthalmology Reports Ophthalmology;Current Ophthalmology Reports is a source for expert review articles on the most significant recent developments in the field of ophthalmology providing clear insightful balanced contributions to benefit those who diagnose treat manage and prevent ocular conditions and diseases International authorities in ophthalmology serve as Section Editors choosing key topics for which leading experts contribute comprehensive review articles that emphasize new developments and recently published papers of major importance highlighted by annotated reference lists Coverage includes such topics as agerelated macular degeneration diabetic retinopathy dry eye syndrome glaucoma pediatric ophthalmology ocular infections refractive surgery and stem cell therapy Offers expert review articles on significant recent developments in ophthalmology International authorities serve as editorial board and section editors Covers macular degeneration diabetic retinopathy dry eye syndrome glaucoma pediatric ophthalmology stem cell therapy and more
Current Oral Health Reports;Current Oral Health Reports Oral and Maxillofacial Surgery;Current Oral Health Reports provides stateoftheart reviews in critical areas relevant to the study and practice of dentistry Timely and current reviews of the literature written by some of the worlds leading researchers address a constantly updated list of subjects that encompass host defenses microbiology wound healing systemic disease interactions risk factors prevention regenerative medicine stem cells cancer genetics and aging Reports on new developments in the study and practice of dentistry Contributors include some of the worlds leading researchers Covers such topics as microbiology wound healing systemic disease interactions regenerative medicine and more
Current Osteoporosis Reports;Current Osteoporosis Reports Orthopedics Epidemiology;Current Osteoporosis Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging approaches to the diagnosis treatment management and prevention of osteoporosis
Current Otorhinolaryngology Reports;Current Otorhinolaryngology Reports Otorhinolaryngology;Current Otorhinolaryngology Reports offers expert review articles on the most significant recent developments in the field By providing clear insightful balanced contributions the journal serves all those involved in the diagnosis and treatment of ear nose throat and head and neck disorders International authorities serve as Section Editors selecting key topics for which leading experts contribute comprehensive review articles emphasizing new developments and important recently published papers highlighted by annotated reference lists Coverage includes such topics as chronic rhinosinusitis implantable devices neurolaryngology otolaryngic allergy robotic surgery sleep apnea skull base surgery thyroid surgery and quality and outcomes Offers expert review articles on the most significant recent developments in Otorhinolaryngology International authorities serve as editorial board and section editors Covers neurolaryngology otolaryngic allergy robotic surgery and much more
Current Pain and Headache Reports;Current Pain and Headache Reports Pain Medicine Internal Medicine;Current Pain and Headache Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging approaches to the diagnosis treatment management and prevention of pain and headache
Current Pathobiology Reports;Current Pathobiology Reports Pathology;
Current Pediatrics Reports;Current Pediatrics Reports Pediatrics;Current Pediatrics Reports offers expert review articles on significant recent developments in the field of pediatrics providing clear insightful balanced contributions serving all those involved in the medical care of infants children and adolescents International authorities from every area of pediatric medicine serve as Section Editors choosing key topics for which leading experts contribute comprehensive review articles that emphasize new developments and recently published papers of major importance highlighted by annotated reference lists Coverage includes such topics in pediatric care such as allergy critical care cardiology endocrinology gastroenterology genetics hematologyoncology infectious disease neonatology nutritiongrowth pulmonary and renal disorders Offers expert review articles on significant recent developments in pediatric medicine International authorities serve as editorial board and section editors Covers pediatric care in allergy critical care cardiology endocrinology gastroenterology hematologyoncology infectious disease and more
Current Pharmacology Reports;Current Pharmacology Reports PharmacologyToxicology Biomedicine general Cancer Research Molecular Medicine;This journal presents incisive reviews by international experts on all aspects of pharmacology including drug discovery and development Coverage spans such key subjects as epigenetics and epigenomics chemoinformatics rational drug design and target discovery drug delivery and biomaterial pharmacogenomics and molecular targets and biomarkers chemicaldrugmolecular toxicology absorption distribution metabolism and elimination ADME pharmacokinetics and pharmacodynamics modeling simulation and pharmacometrics and related topics in disease including neurology and the central nervous system cardiovascular disease metabolic diseases cancer and others Presents cuttingedge reviews on subjects pertinent to all aspects of pharmacology Offers incisive insightful and balanced contributions by international leading experts Benefits a wide readership of scientists and translational investigators in academia and in industry
Current Physical Medicine and Rehabilitation Reports;Current Physical Medicine and Rehabilitation Reports Rehabilitation Medicine;Current Physical Medicine and Rehabilitation Reports publishes expert review articles on the most significant recent developments in the field providing clear insightful balanced contributions to serve those for whom an understanding of emerging knowledge in the rehabilitation sciences is essential to optimizing health function and participation in individuals with physical disabilities International authorities from every area of physical and rehabilitative medicine serve as Section Editors choosing key topics for which leading experts contribute comprehensive review articles that emphasize new developments and recently published papers of major importance highlighted by annotated reference lists Coverage includes such topics as amputee rehabilitation interventional pain management musculoskeletal rehabilitation pediatric rehabilitation spinal cord injury rehabilitation stroke rehabilitation swallowing disorders and traumatic brain injury rehabilitation Offers expert review articles on significant recent developments in physical medicine and rehabilitation International authorities serve as editorial board and section editors Covers amputee rehabilitation interventional pain management musculoskeletal rehabilitation pediatric rehabilitation stroke rehabilitation TBI rehabilitation and more
Current Pollution Reports;Current Pollution Reports Pollution general Industrial Pollution Prevention MonitoringEnvironmental Analysis Environmental LawPolicyEcojustice Atmospheric ProtectionAir Quality ControlAir Pollution Waste Water Technology Water Pollution Control Water Management Aquatic Pollution;Current Pollution Reports provides indepth review articles contributed by international experts on the most significant developments in the field of environmental pollution Submissions are sought via invitations however relevant high quality voluntary contributions are considered as well on a casebycase basis upon approval of the EditorinChief By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging approaches to identification characterization treatment management of pollutants and much more Offers expert reviews of important recent research papers in environmental pollution Emphasizes emerging approaches to address a wide range of pollutants including but not limited to soil air water sediments noise and emerging contaminants Covers characterization identification management treatment and prevention of the aforementioned pollution and more
Current Prostate Reports;Current Prostate Reports Gastroenterology;
Current Psychiatry Reports;Current Psychiatry Reports Psychiatry;Current Psychiatry Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging approaches to the diagnosis treatment management and prevention of psychiatric disorders Presents the views of experts on current advances in psychiatry in a clear and readable form Gathers and synthesizes important recent papers on psychiatry Alerts readers to clinical trials valuable web sites and commentary
Current Psychological Reviews;Current Psychological Reviews Psychology general;
Current Psychology;Current Psychology Psychology general Social Sciences general;Current Psychology is an international forum for rapid dissemination of peerreviewed research at the cutting edge of psychology It welcomes significant and rigorous empirical and theoretical contributions from all the major areas of psychology including but not limited to cognitive psychology and cognition social clinical health developmental methodological and personality psychology neuropsychology psychometrics human factors and educational psychology A global forum for peerreviewed research at the cutting edge of psychology Welcomes contributions from all major areas of psychology Includes empirical and theoretical work
Current Psychosis Therapeutics Reports;Current Psychosis and Therapeutics Reports Psychiatry;
Current Pulmonology Reports;Current Pulmonology Reports PneumologyRespiratory System Internal Medicine Thoracic Surgery;Current Pulmonology Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging approaches to the diagnosis treatment management and prevention of respiratory conditions Offers expert reviews of important recent research papers in the field of respiratory care Provides supplementary reviews featuring recent clinical trials Presents commentaries from wellknown figures in the field
Current Radiology Reports;Current Radiology Reports Imaging Radiology;Current Radiology Reports offers expert review articles on the most significant recent developments in radiology providing clear insightful balanced contributions to benefit all those who use imaging technologies and related techniques to diagnose and treat disease International authorities from every area of the discipline of radiology serve as Section Editors choosing key topics for which leading experts contribute comprehensive review articles that emphasize new developments and recently published papers of major importance highlighted by annotated reference lists Coverage includes such topics as abdominal imaging including virtual colonoscopy cardiac imaging clinical MRI dualsource CT interventional radiology minimally invasive procedures and highfrequency focused ultrasound musculoskeletal imaging neuroimaging nuclear medicine pediatric imaging PET PETCT and PETMRI radiation exposure and reduction translational molecular imaging ultrasound and more Offers expert review articles on significant recent developments across the field of radiology International authorities serve as editorial board and section editors Covers abdominal and cardiac imaging clinical MRI nuclear medicine interventional radiology ultrasound and more
Current Reviews in Musculoskeletal Medicine;Current Reviews in Musculoskeletal Medicine Orthopedics Sports Medicine Rehabilitation Medicine Surgical Orthopedics Minimally Invasive Surgery Surgery;Current Reviews in Musculoskeletal Medicine provides indepth review articles contributed by expert worldrenowned authors on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging approaches to the diagnosis treatment management and prevention of musculoskeletalrelated conditions and concerns
Current Rheumatology Reports;Current Rheumatology Reports Rheumatology;Current Rheumatology Reports provides indepth review articles contributed by international experts on the most significant developments in the field By presenting clear insightful balanced reviews that emphasize recently published papers of major importance the journal elucidates current and emerging approaches to the diagnosis treatment management and prevention of rheumatologic disorders Presents the views of experts on current advances in rheumatology in a clear and readable form Gathers and synthesizes important recent papers in the field of rheumatology Summarizes recent trials offers expert commentary and valuable web sites
Current Robotics Reports;Current Robotics Reports Robotics and Automation Control Robotics Mechatronics Surgical Orthopedics Robotics Computer Appl in Social and Behavioral Sciences Occupational MedicineIndustrial Medicine;Current Robotics Reports aims to offer expert review articles on the most significant recent developments in the field of robotics By providing clear insightful balanced contributions the journal intends to serve all those who use robotic technologies in medicine defense service and agriculture
Current Sexual Health Reports;Current Sexual Health Reports Urology Endocrinology;Current Sexual Health Reports commissions stateofthe art reviews from leading researchers therapists and clinicians in the field of sexual medicine The primary strength of this journal and what makes it unique is its multidisciplinary perspective which emphasizes a biopsychosocial cultural understanding of sexual health International authorities serve as editorial board members and section editors and articles from some of the worlds leading urologists sex therapists endocrinologists surgeons and other renowned experts focus on timely and current reviews of the literature Reviews and commentaries address a wideranging list of subjects that encompass male and female sexual disordersdysfunction surgical interventions medical comorbidities variations in orientation identity addiction and compulsion preclinical and psychophysiological aspects of sexual medicine as well as the hottest current controversies in the field Presents the views of experts on current advances in sexual medicine and sexual health from a multidisciplinary perspective in a clear and readable form Gathers and synthesizes important recent papers on sexual health Provides updated reviewscommentaries on a wideranging list of subjects
